"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"CONCEPCION",10.1377861368541,55591,10.0555845370654,19.8898831026524,0.47531075174039,0.52468924825961,0.537834053692092,0.462165946307908,0.0914348328970597,0.90856516710294,"1202","JUNIN"
"CONDESUYOS",10.6481439855318,16118,29.5694254870331,32.0929239704707,0.567067874426108,0.432932125573893,0.823331352743117,0.176668647256883,0.0538720538720539,0.946127946127946,"0406","AREQUIPA"
"CONDORCANQUI",14.3376042394805,42470,66.8801506946079,33.5968169277446,0.496114904638568,0.503885095361432,0.904226208574035,0.0957737914259653,0.00577683186378839,0.994223168136212,"0104","AMAZONAS"
"CONTRALMIRANTE VILLAR",3.89712855084939,21057,1.25848886356081,29.1078772403145,0.515885453768343,0.484114546231657,0.212607944732297,0.787392055267703,0.160621761658031,0.839378238341969,"2402","TUMBES"
"CONTUMAZA",8.6242375901056,27693,0.837756833856931,23.9191531130943,0.498031993644603,0.501968006355397,0.719410211267606,0.280589788732394,0.0483054577464789,0.951694542253521,"0605","CAJAMARCA"
"CORONEL PORTILLO",5.16629142297844,384168,8.21203223589679,31.0403407313923,0.50112711105558,0.49887288894442,0.11578688717242,0.88421311282758,0.191927609157826,0.808072390842174,"2501","UCAYALI"
"CORONGO",12.5303199647046,7532,12.1083377588954,30.0562228652268,0.509426447158789,0.490573552841211,1,0,0.0261531145981931,0.973846885401807,"0209","ANCASH"
"COTABAMBAS",22.761443095382,50656,74.5775426405559,29.6006152496736,0.529670720151611,0.470329279848389,0.696025708289612,0.303974291710388,0.0200682056663169,0.979931794333683,"0305","APURIMAC"
"CUSCO",6.85041624355421,447588,30.8529272455919,15.27864459488,0.48347810933269,0.51652189066731,0.0328814605541179,0.967118539445882,0.369467328252732,0.630532671747268,"0801","CUSCO"
"CUTERVO",16.7590457501,120723,1.06607688675729,33.9002733517862,0.493758438739925,0.506241561260075,0.794078319006686,0.205921680993314,0.0373038613726293,0.962696138627371,"0606","CAJAMARCA"
"DANIEL ALCIDES CARRION",11.7615179889661,43580,24.784304726939,39.4264306114111,0.497980725103258,0.502019274896742,0.619839970903801,0.380160029096199,0.0141843971631206,0.985815602836879,"1902","PASCO"
"DATEM DEL MARAÑON",14.2618117940426,48482,32.4202796914319,26.6460402136598,0.502990800709542,0.497009199290458,0.756854327251439,0.243145672748561,0.0221485022929066,0.977851497707093,"1607","LORETO"
"DOS DE MAYO",17.1759439542493,33258,47.7028083468639,29.242213343311,0.481808888087077,0.518191111912923,0.760576148267526,0.239423851732474,0.0177276390008058,0.982272360999194,"1003","HUANUCO"
"EL COLLAO",14.5749438044946,63878,81.2580231065468,29.8518470952784,0.493565859920473,0.506434140079527,0.719776004909481,0.280223995090519,0.022054311138386,0.977945688861614,"2105","PUNO"
